gap,seq_num,hidden_size,num_layer,ACC
3,30,32,1,91.27647724618674
3,30,32,2,91.05693393938306
3,30,32,3,90.8302042722912
3,30,64,1,91.17910206428199
3,30,64,2,91.41445536371965
3,30,64,3,91.94876125114533
3,30,128,1,91.62285981207668
3,30,128,2,91.5075187294515
3,30,128,3,91.80754927148273
3,30,256,1,91.1338279944665
3,30,256,2,92.42809148236647
3,30,256,3,90.75295089919334
3,50,32,1,93.85029154360863
3,50,32,2,93.86800467048161
3,50,32,3,93.6138755237121
3,50,64,1,93.911022264316
3,50,64,2,93.9966959595996
3,50,64,3,94.02055445702037
3,50,128,1,94.23202750234066
3,50,128,2,93.96488462970528
3,50,128,3,94.37843191833164
3,50,256,1,94.26926121801245
3,50,256,2,94.03754459912302
3,50,256,3,94.11418098477756
3,80,32,1,95.13362468353968
3,80,32,2,94.93590538657406
3,80,32,3,95.11502010024587
3,80,64,1,94.91036968401392
3,80,64,2,95.03695380956202
3,80,64,3,95.07270379314622
3,80,128,1,94.98478801718917
3,80,128,2,95.23211953627164
3,80,128,3,95.05665278010842
3,80,256,1,95.2288363745139
3,80,256,2,95.28793328615308
3,80,256,3,95.17885935664621
3,100,32,1,95.35956660414824
3,100,32,2,95.50124241612315
3,100,32,3,95.53097231449094
3,100,64,1,95.34451813707318
3,100,64,2,95.41829232931919
3,100,64,3,95.47591694714318
3,100,128,1,95.57097921476365
3,100,128,2,95.59924097000217
3,100,128,3,95.5581329623825
3,100,256,1,95.52509974197385
3,100,256,2,95.50858313176951
3,100,256,3,95.71889463503797
3,150,32,1,95.67064875039604
3,150,32,2,95.58678271241403
3,150,32,3,95.7720334718676
3,150,64,1,95.68444005441974
3,150,64,2,95.71314087630691
3,150,64,3,95.69487671692417
3,150,128,1,95.85254486833033
3,150,128,2,95.75973311963024
3,150,128,3,95.89727342192072
3,150,256,1,95.89429151834803
3,150,256,2,95.89391878040144
3,150,256,3,95.86521795851426
3,200,32,1,95.74943393940312
3,200,32,2,95.77972480746367
3,200,32,3,95.76420073758264
3,200,64,1,95.60252322930944
3,200,64,2,95.6933958334911
3,200,64,3,95.8058506811659
3,200,128,1,95.7872975244788
3,200,128,2,95.83879200018174
3,200,128,3,95.80660795286741
3,200,256,1,95.94253822328913
3,200,256,2,95.73693895632815
3,200,256,3,95.71952170719332

5,30,32,1,89.63085359866854
5,30,32,2,90.35765173557479
5,30,32,3,89.75298442233317
5,30,64,1,90.48756540584552
5,30,64,2,90.31694146101991
5,30,64,3,90.70967587437288
5,30,128,1,90.42530263299687
5,30,128,2,90.63364344983655
5,30,128,3,90.698899625226
5,30,256,1,90.97908210304489
5,30,256,2,90.83539878108648
5,30,256,3,90.45823006094568
5,50,32,1,92.83451382865954
5,50,32,2,92.72911246024863
5,50,32,3,92.7941601618965
5,50,64,1,93.01761106292763
5,50,64,2,92.84113905753108
5,50,64,3,93.08386335164306
5,50,128,1,93.07844270983907
5,50,128,2,93.19468536185795
5,50,128,3,93.23805049628987
5,50,256,1,93.08446564517683
5,50,256,2,93.46993350679386
5,50,256,3,93.31574636214705
5,80,32,1,94.00774331576804
5,80,32,2,93.96580542032103
5,80,32,3,93.73788207550037
5,80,64,1,94.14449732266044
5,80,64,2,94.23749004734728
5,80,64,3,94.3098177221037
5,80,128,1,94.22715752238207
5,80,128,2,94.3098177221037
5,80,128,3,94.02536938776751
5,80,256,1,94.26484084872575
5,80,256,2,94.2630174619672
